prompt,pollution_category,severity
The dust from the mining trucks has gotten so bad that we can barely see when we drive. It’s making it hard to breathe.,Air pollution,High
My son has developed asthma since we moved here. The air quality is worsening due to the dust and mining fumes.,Air pollution,Medium
"Every day, we wake up to a thick layer of dust on everything. We can't even hang our laundry outside anymore.",Air pollution,Low
 There’s a constant burning smell in the air. I worry about the chemicals or gases being released from the mines.,Air pollution,Medium
"The air here feels heavy, and I’m experiencing constant headaches and nausea. This started after the mining increased.",Air pollution,High
My elderly parents are having a harder time breathing. The dust clouds seem to hover over our homes for hours.,Air pollution,Low
The mining explosions release a cloud of dust and debris that lingers for hours. It's becoming impossible to ignore.,Air pollution,Medium
"Our children’s school is close to the mining site, and the air quality there is terrible. Many kids are coughing.",Air pollution,High
We don’t open our windows anymore because the dust comes in and coats everything. How are we supposed to live like this?,Air pollution,Low
"I’ve developed a persistent cough, and the doctor said it might be related to the poor air quality.",Air pollution,Medium
The mining company needs to do something about controlling the dust. It’s affecting our health and crops.,Air pollution,High
"Every time the wind blows, the dust from the mining area covers our entire neighborhood. It’s unbearable.",Air pollution,Low
We’ve been seeing black soot settling on our windowsills. I'm worried it's toxic.,Air pollution,High
The air here smells like chemicals sometimes. Is there a way to test for harmful substances being released?,Air pollution,Medium
The constant dust from mining is making our water sources dirty. We have to clean our filters more frequently.,Air pollution,Low
It feels like the air quality is getting worse by the day. My throat feels dry and irritated all the time.,Air pollution,High
The dust is affecting not just humans but also our livestock. Our animals are coughing and sneezing more often.,Air pollution,Low
"We used to enjoy spending time outside, but now it’s too dangerous because of the thick air and dust particles.",Air pollution,Medium
"The trees around our area are coated in dust, and it looks like they’re dying. What’s this doing to our lungs?",Air pollution,High
We’re worried that prolonged exposure to this dust might lead to long-term health issues for our children.,Air pollution,Medium
"The air is visibly dirty. You can see the particles floating around, especially in the morning. It feels suffocating.",Air pollution,Low
There’s a constant haze over the area now. It never used to be this bad before the mining operations ramped up.,Air pollution,High
I can’t even sit outside on my porch without coughing. The air is thick with dust and it irritates my eyes.,Air pollution,Medium
We’ve had more respiratory infections in our community recently. Everyone believes it’s because of the mining dust.,Air pollution,Low
"The air quality monitoring systems, if they exist, aren’t working properly. We need immediate action before it worsens.",Air pollution,Medium
The water from our well has started to taste metallic. I’m worried it’s contaminated by chemicals from the mining runoff.  ,Water Pollution,High
"Our water used to be clear, but now it’s cloudy and has a strange odor. We’ve stopped using it for drinking or cooking.",Water Pollution,Low
The stream near our house is polluted with waste from the mining site. It’s affecting the fish and other wildlife.,Water Pollution,High
We noticed oily residue floating on the surface of our water source. It wasn't there before mining operations started.,Water Pollution,Medium
"The water from our tap is discolored. It's a light brown, and we're afraid to use it for bathing or drinking.",Water Pollution,Low
My kids have been getting rashes after bathing in the local water. I think the pollution from mining is to blame.,Water Pollution,High
Our crops are dying because the irrigation water is polluted with toxins from the mining area.,Water Pollution,Medium
We have to buy bottled water now because the local water source is undrinkable. It’s becoming a financial burden.,Water Pollution,Low
